label,url_length,starts_with_ip,url_entropy,has_punycode,digit_letter_ratio,dot_count,at_count,dash_count,tld_count,domain_has_digit,subdomain_count,nan_char_entropy,has_internal_links
phishing,130,1,4.959234379150965,False,0.6846153846153846,4,0,0,0,False,2,3.1590795706241757,False
phishing,98,1,4.642785743623148,False,0.5510204081632653,4,0,0,0,True,4,1.4237949406953987,False
phishing,82,0,5.175919651086606,False,0.7804878048780488,2,0,0,0,False,3,2.1996877947313282,False
phishing,33,0,3.9306096495959246,False,0.8181818181818182,1,0,0,0,False,2,1.2516291673878228,False
phishing,52,0,4.3446033053715185,False,0.7692307692307693,5,0,0,0,False,4,1.6500224216483543,False
phishing,91,0,4.571106004172829,False,0.7802197802197802,3,0,0,0,False,4,1.823026490712885,False
phishing,49,1,4.21615219078907,False,0.6326530612244898,4,0,0,0,True,5,1.4056390622295665,False
phishing,39,0,4.111698692943855,False,0.8461538461538461,2,0,0,0,False,3,1.459147917027245,False
phishing,52,0,4.303724516543196,False,0.7884615384615384,2,0,0,0,True,3,1.9056390622295665,False
phishing,87,0,4.443539222022284,False,0.8275862068965517,5,0,0,0,False,2,1.2957378005380122,False
phishing,64,0,4.452569336880353,False,0.796875,3,0,0,0,True,3,1.2406705316766884,False
phishing,127,1,4.810145444146634,False,0.7244094488188977,4,0,0,0,False,5,2.794653473544342,False
phishing,34,0,4.175123135113462,False,0.7647058823529411,2,0,0,0,True,3,1.8423709931771088,False
phishing,19,0,3.5766176449086657,False,0.5263157894736842,2,0,0,0,True,3,1.459147917027245,False
phishing,186,1,5.363426431756887,False,0.7258064516129032,5,0,1,0,False,3,2.704241279359313,False
phishing,60,0,4.39129564611606,False,0.7666666666666667,1,0,0,0,True,2,1.4911148500551858,False
phishing,51,0,4.395574058074168,False,0.6862745098039216,4,0,0,0,True,5,1.8464393446710157,False
phishing,81,1,4.811891751120946,False,0.6419753086419753,2,0,0,0,False,3,1.2987949406953987,False
phishing,57,0,4.203173295049285,False,0.8596491228070176,2,0,0,0,False,2,1.75,False
